CTY_CODE,CTY_NAME,GEN_VAL_MO,time,year,month,quarter,mom_change,rolling_3_month_avg,rolling_6_month_avg,historical_mean,historical_std,deviation_from_avg,high_disruption_risk
5180,QATAR,171907537,2023-10-01,2023,10,4,-0.06596608138523485,142797485.0,121888389.16666667,166249770.0,80462876.08806814,0.07031524691967843,0
5180,QATAR,174901395,2023-11-01,2023,11,4,0.017415513317487585,176952475.66666666,129897607.33333333,166433847.1276596,79593478.99403957,0.10638494483919357,0
5180,QATAR,223152470,2023-12-01,2023,12,4,0.27587587280250103,189987134.0,154704194.16666666,167615485.10416666,79166615.11970034,0.7015202659841037,0
5180,QATAR,137296798,2024-01-01,2024,1,1,-0.3847399582895049,178450221.0,160623853.0,166996736.3877551,78457267.0000998,-0.3785492348046908,1
5180,QATAR,274980057,2024-02-01,2024,2,1,1.0028147852362879,211809775.0,194381125.33333334,169156402.8,79139922.75965907,1.3371715628454308,0
5180,QATAR,233681143,2024-03-01,2024,3,1,-0.1501887607798409,215319332.66666666,202653233.33333334,170421593.78431374,78863812.65499997,0.8021365831300017,0
5180,QATAR,234344575,2024-04-01,2024,4,2,0.0028390480784321603,247668591.66666666,213059406.33333334,171650881.8846154,78588356.05658473,0.7977478631852823,0
5180,QATAR,121744606,2024-05-01,2024,5,2,-0.4804889082668118,196590108.0,204199941.5,170709254.03773585,78130346.99549158,-0.626704602253479,1
5180,QATAR,161515674,2024-06-01,2024,6,2,0.32667622251781725,172534951.66666666,193927142.16666666,170539002.55555555,77399870.19373228,-0.11658066780952105,0
5180,QATAR,73661750,2024-07-01,2024,7,3,-0.5439343552502527,118974010.0,183321300.83333334,168777597.96363637,77784576.33503872,-1.2228111592965074,1
5180,QATAR,117892165,2024-08-01,2024,8,3,0.6004529487827808,117689863.0,157139985.5,167868929.51785713,77373576.22061141,-0.6459151425980477,0
5180,QATAR,156123817,2024-09-01,2024,9,3,0.32429340830240916,115892577.33333333,144213764.5,167662874.9122807,76695407.97830702,-0.1504530481869851,0
5180,QATAR,130931240,2024-10-01,2024,10,4,-0.16136280475387044,134982407.33333334,126978208.66666667,167029570.86206895,76172512.49260665,-0.4739023261911267,0
5180,QATAR,132925392,2024-11-01,2024,11,4,0.015230528634724516,139993483.0,128841673.0,166451533.93220338,75643415.52684486,-0.4432129577795888,0
5180,QATAR,60662425,2024-12-01,2024,12,4,-0.5436355380467864,108173019.0,112032798.16666667,164688382.11666667,76232976.92033826,-1.36457949458502,1
5180,QATAR,163461858,2025-01-01,2025,1,1,1.6946146317098272,119016558.33333333,126999482.83333333,164668275.16393444,75595195.96043774,-0.015958913110904693,0
5180,QATAR,160189980,2025-02-01,2025,2,1,-0.020016155695477322,128104754.33333333,134049118.66666667,164596044.5967742,74975159.90784195,-0.058766991656837304,0
5180,QATAR,384424077,2025-03-01,2025,3,1,1.3998010175168258,236025305.0,172099162.0,168085378.44444445,79357811.70074716,2.7261172393633264,0
5180,QATAR,359787237,2025-04-01,2025,4,2,-0.06408766118985831,301467098.0,210241828.16666666,171080719.984375,82291627.3070602,2.293143582049871,0
5180,QATAR,162179778,2025-05-01,2025,5,2,-0.5492342103285892,302130364.0,215117559.16666666,170943782.41538462,81653656.83406636,-0.10733143811543575,1
5180,QATAR,66059121,2025-06-01,2025,6,2,-0.5926796681149731,196008712.0,216017008.5,169354620.87878788,82045256.99416894,-1.2590063540922203,1
5180,QATAR,105755722,2025-07-01,2025,7,3,0.6009253589674619,111331540.33333333,206399319.16666666,168405383.58208954,81791218.14961845,-0.765970516143753,0
5180,QATAR,145346954,2025-08-01,2025,8,3,0.3743649161602811,105720599.0,203925481.5,168066289.02941176,81226686.14946865,-0.27970284282686303,0
5180,QATAR,112202382,2025-09-01,2025,9,3,-0.2280376099247322,121101686.0,158555199.0,167256667.1884058,80907212.81728357,-0.6804620165662782,1
5180,QATAR,88944719,2025-10-01,2025,10,4,-0.20728314840945172,115498018.33333333,113414779.33333333,166137925.07142857,80862344.31077112,-0.9546248841705445,1
5180,QATAR,80281734,2025-11-01,2025,11,4,-0.0973974070343625,93809611.66666667,99765105.33333333,164928682.94366196,80926691.413106,-1.0459707108445246,0
5180,QATAR,234286497,2025-12-01,2025,12,4,1.9183038946318725,134504316.66666666,127803001.33333333,165891985.91666666,80769429.31974418,0.8467871032315716,0
5180,QATAR,201318853,2026-01-01,2026,1,1,-0.14071508355003493,171962361.33333334,143730189.83333334,166377285.46575344,80313675.05547276,0.4350637361584111,0
5180,QATAR,224237919,2026-02-01,2026,2,1,0.11384460848284284,219947756.33333334,156878684.0,167159185.9189189,80044784.7696098,0.7130849716863988,0
5180,QATAR,174208772,2026-03-01,2026,3,1,-0.22310743527726018,199921848.0,167213082.33333334,167253180.4,79506269.22120155,0.08748481934988317,1
